Source,Target,Type,Weight
566,2543,Directed,1
566,3742,Directed,1
566,759,Directed,1
566,3172,Directed,1
566,1971,Directed,1
566,4314,Directed,1
566,4315,Directed,1
566,3176,Directed,1
566,1399,Directed,1
566,3752,Directed,1
566,1985,Directed,1
566,3755,Directed,1
566,3756,Directed,1
566,2560,Directed,1
566,2559,Directed,1
566,2561,Directed,1
566,777,Directed,1
566,1992,Directed,1
566,4328,Directed,1
566,3186,Directed,1
566,782,Directed,1
566,1993,Directed,1
566,1994,Directed,1
566,2570,Directed,1
566,224,Directed,1
566,2573,Directed,1
566,4340,Directed,1
566,3771,Directed,1
566,228,Directed,1
566,4346,Directed,1
566,3776,Directed,1
566,796,Directed,1
566,2001,Directed,1
566,2004,Directed,1
566,4352,Directed,1
566,2580,Directed,1
566,1417,Directed,1
566,3202,Directed,1
566,237,Directed,1
566,3785,Directed,1
566,2008,Directed,1
566,242,Directed,1
566,3788,Directed,1
566,1422,Directed,1
566,3205,Directed,1
566,3791,Directed,1
566,3793,Directed,1
566,807,Directed,1
566,1426,Directed,1
566,4361,Directed,1
566,1427,Directed,1
566,3208,Directed,1
566,1428,Directed,1
566,1431,Directed,1
566,1432,Directed,1
566,3213,Directed,1
566,812,Directed,1
566,1435,Directed,1
566,2608,Directed,1
566,2610,Directed,1
566,817,Directed,1
566,1437,Directed,1
566,3802,Directed,1
566,3217,Directed,1
566,1442,Directed,1
566,1443,Directed,1
566,3222,Directed,1
566,3223,Directed,1
566,264,Directed,1
566,265,Directed,1
566,2615,Directed,1
566,3226,Directed,1
566,267,Directed,1
566,4379,Directed,1
566,2030,Directed,1
566,4382,Directed,1
566,1455,Directed,1
566,277,Directed,1
566,838,Directed,1
566,3241,Directed,1
566,2630,Directed,1
566,3242,Directed,1
566,3824,Directed,1
566,1469,Directed,1
566,847,Directed,1
566,1471,Directed,1
566,2050,Directed,1
566,2641,Directed,1
566,3258,Directed,1
566,3836,Directed,1
566,2053,Directed,1
566,861,Directed,1
566,2649,Directed,1
566,2653,Directed,1
566,3840,Directed,1
566,3845,Directed,1
566,2656,Directed,1
566,4415,Directed,1
566,1494,Directed,1
566,311,Directed,1
566,313,Directed,1
566,2664,Directed,1
566,4425,Directed,1
566,1501,Directed,1
566,882,Directed,1
566,884,Directed,1
566,2073,Directed,1
566,887,Directed,1
566,2080,Directed,1
566,3868,Directed,1
566,2084,Directed,1
566,323,Directed,1
566,3309,Directed,1
566,897,Directed,1
566,899,Directed,1
566,4439,Directed,1
566,2093,Directed,1
566,1522,Directed,1
566,2094,Directed,1
566,3877,Directed,1
566,2104,Directed,1
566,3319,Directed,1
566,334,Directed,1
566,1529,Directed,1
566,335,Directed,1
566,2105,Directed,1
566,1530,Directed,1
